Date,Close,Contract,Year,ContractSymbol,ContractSymbol1
2014-12-23,17.74,CFE_VX_J5,2014,VX/J5,VX/J5_2015
2014-12-23,18.05,CFE_VX_K5,2014,VX/K5,VX/K5_2015
2014-12-23,18.35,CFE_VX_M5,2014,VX/M5,VX/M5_2015
2014-12-23,18.7,CFE_VX_N5,2014,VX/N5,VX/N5_2015
2014-12-23,19.0,CFE_VX_Q5,2014,VX/Q5,VX/Q5_2015
2014-12-23,19.09,CFE_VX_U5,2014,VX/U5,VX/U5_2015
2014-12-24,16.2,CFE_VX_F5,2014,VX/F5,VX/F5_2015
2014-12-24,16.91,CFE_VX_G5,2014,VX/G5,VX/G5_2015
2014-12-24,17.4,CFE_VX_H5,2014,VX/H5,VX/H5_2015
2014-12-24,17.84,CFE_VX_J5,2014,VX/J5,VX/J5_2015
2014-12-24,18.22,CFE_VX_K5,2014,VX/K5,VX/K5_2015
2014-12-24,18.52,CFE_VX_M5,2014,VX/M5,VX/M5_2015
2014-12-24,18.87,CFE_VX_N5,2014,VX/N5,VX/N5_2015
2014-12-24,19.05,CFE_VX_Q5,2014,VX/Q5,VX/Q5_2015
2014-12-24,19.25,CFE_VX_U5,2014,VX/U5,VX/U5_2015
2014-12-26,15.85,CFE_VX_F5,2014,VX/F5,VX/F5_2015
2014-12-26,16.5,CFE_VX_G5,2014,VX/G5,VX/G5_2015
2014-12-26,17.0,CFE_VX_H5,2014,VX/H5,VX/H5_2015
2014-12-26,17.6,CFE_VX_J5,2014,VX/J5,VX/J5_2015
2014-12-26,18.0,CFE_VX_K5,2014,VX/K5,VX/K5_2015
2014-12-26,18.3,CFE_VX_M5,2014,VX/M5,VX/M5_2015
2014-12-26,18.7,CFE_VX_N5,2014,VX/N5,VX/N5_2015
2014-12-26,18.83,CFE_VX_Q5,2014,VX/Q5,VX/Q5_2015
2014-12-26,19.3,CFE_VX_U5,2014,VX/U5,VX/U5_2015
2014-12-29,16.1,CFE_VX_F5,2014,VX/F5,VX/F5_2015
2014-12-29,16.7,CFE_VX_G5,2014,VX/G5,VX/G5_2015
2014-12-29,17.13,CFE_VX_H5,2014,VX/H5,VX/H5_2015
2014-12-29,17.6,CFE_VX_J5,2014,VX/J5,VX/J5_2015
2014-12-29,18.02,CFE_VX_K5,2014,VX/K5,VX/K5_2015
2014-12-29,18.34,CFE_VX_M5,2014,VX/M5,VX/M5_2015
2014-12-29,18.7,CFE_VX_N5,2014,VX/N5,VX/N5_2015
2014-12-29,18.96,CFE_VX_Q5,2014,VX/Q5,VX/Q5_2015
2014-12-29,0.0,CFE_VX_U5,2014,VX/U5,VX/U5_2015
2014-12-30,16.45,CFE_VX_F5,2014,VX/F5,VX/F5_2015
2014-12-30,17.0,CFE_VX_G5,2014,VX/G5,VX/G5_2015
2014-12-30,17.35,CFE_VX_H5,2014,VX/H5,VX/H5_2015
2014-12-30,17.8,CFE_VX_J5,2014,VX/J5,VX/J5_2015
2014-12-30,18.15,CFE_VX_K5,2014,VX/K5,VX/K5_2015
2014-12-30,18.45,CFE_VX_M5,2014,VX/M5,VX/M5_2015
2014-12-30,18.85,CFE_VX_N5,2014,VX/N5,VX/N5_2015
2014-12-30,19.05,CFE_VX_Q5,2014,VX/Q5,VX/Q5_2015
2014-12-30,19.43,CFE_VX_U5,2014,VX/U5,VX/U5_2015
2014-12-31,18.05,CFE_VX_F5,2014,VX/F5,VX/F5_2015
2014-12-31,18.21,CFE_VX_G5,2014,VX/G5,VX/G5_2015
2014-12-31,18.37,CFE_VX_H5,2014,VX/H5,VX/H5_2015
2014-12-31,18.6,CFE_VX_J5,2014,VX/J5,VX/J5_2015
2014-12-31,18.85,CFE_VX_K5,2014,VX/K5,VX/K5_2015
2014-12-31,19.14,CFE_VX_M5,2014,VX/M5,VX/M5_2015
2014-12-31,19.46,CFE_VX_N5,2014,VX/N5,VX/N5_2015
2014-12-31,19.65,CFE_VX_Q5,2014,VX/Q5,VX/Q5_2015
2014-12-31,20.0,CFE_VX_U5,2014,VX/U5,VX/U5_2015
2015-01-02,17.85,CFE_VX_F5,2015,VX/F5,VX/F5_2015
2015-01-02,18.2,CFE_VX_G5,2015,VX/G5,VX/G5_2015
2015-01-02,18.45,CFE_VX_H5,2015,VX/H5,VX/H5_2015
2015-01-02,18.75,CFE_VX_J5,2015,VX/J5,VX/J5_2015
2015-01-02,19.05,CFE_VX_K5,2015,VX/K5,VX/K5_2015
2015-01-02,19.3,CFE_VX_M5,2015,VX/M5,VX/M5_2015
2015-01-02,19.6,CFE_VX_N5,2015,VX/N5,VX/N5_2015
2015-01-02,19.75,CFE_VX_Q5,2015,VX/Q5,VX/Q5_2015
2015-01-02,20.11,CFE_VX_U5,2015,VX/U5,VX/U5_2015
2015-01-05,19.11,CFE_VX_F5,2015,VX/F5,VX/F5_2015
2015-01-05,19.2,CFE_VX_G5,2015,VX/G5,VX/G5_2015
2015-01-05,19.3,CFE_VX_H5,2015,VX/H5,VX/H5_2015
2015-01-05,19.6,CFE_VX_J5,2015,VX/J5,VX/J5_2015
2015-01-05,19.76,CFE_VX_K5,2015,VX/K5,VX/K5_2015
2015-01-05,19.9,CFE_VX_M5,2015,VX/M5,VX/M5_2015
2015-01-05,20.2,CFE_VX_N5,2015,VX/N5,VX/N5_2015
2015-01-05,20.35,CFE_VX_Q5,2015,VX/Q5,VX/Q5_2015
2015-01-05,20.65,CFE_VX_U5,2015,VX/U5,VX/U5_2015
2015-01-06,19.85,CFE_VX_F5,2015,VX/F5,VX/F5_2015
2015-01-06,19.66,CFE_VX_G5,2015,VX/G5,VX/G5_2015
2015-01-06,19.64,CFE_VX_H5,2015,VX/H5,VX/H5_2015
2015-01-06,19.8,CFE_VX_J5,2015,VX/J5,VX/J5_2015
2015-01-06,19.9,CFE_VX_K5,2015,VX/K5,VX/K5_2015
2015-01-06,20.1,CFE_VX_M5,2015,VX/M5,VX/M5_2015
2015-01-06,20.45,CFE_VX_N5,2015,VX/N5,VX/N5_2015
2015-01-06,20.55,CFE_VX_Q5,2015,VX/Q5,VX/Q5_2015
2015-01-06,20.66,CFE_VX_U5,2015,VX/U5,VX/U5_2015
2015-01-07,18.83,CFE_VX_F5,2015,VX/F5,VX/F5_2015
2015-01-07,18.73,CFE_VX_G5,2015,VX/G5,VX/G5_2015
2015-01-07,18.81,CFE_VX_H5,2015,VX/H5,VX/H5_2015
